"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","2236","0.0-0.0","567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2255","0.0-1.0","567","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","4893","0.0-2.0","567","","","","","enter-sub-number","2631","{""response"":""567""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","32372","0.0-3.0","567","","","","","","27411","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","43810","0.0-4.0","567","","","","","intro mssg","11432","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","80132","0.0-5.0","567","","","","","instructions","36316","","","[{""page_index"":0,""viewing_time"":6203},{""page_index"":1,""viewing_time"":12584},{""page_index"":2,""viewing_time"":3768},{""page_index"":3,""viewing_time"":9047},{""page_index"":4,""viewing_time"":2098},{""page_index"":5,""viewing_time"":1199},{""page_index"":6,""viewing_time"":840},{""page_index"":7,""viewing_time"":576}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","80338","0.0-6.0-0.0","567","","","","","pre trial waiting period","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","510.19077453644474","426.0318321170623","475.044605875263"
"","canvas-keyboard-response","7","80361","0.0-6.0-1.0","567","","","","","clear_screen","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","510.19077453644474","426.0318321170623","475.044605875263"
"","canvas-keyboard-response","8","80872","0.0-6.0-2.0","567","","","","","rectangles no change","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","510.19077453644474","426.0318321170623","475.044605875263"
"","canvas-keyboard-response","9","82209","0.0-6.0-3.0","567","","","","","rectangles with change","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","510.19077453644474","426.0318321170623","475.044605875263"
"","canvas-keyboard-response","10","82228","0.0-6.0-4.0","567","","","","","clear_screen","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","510.19077453644474","426.0318321170623","475.044605875263"
"","canvas-keyboard-response","11","84999","0.0-6.0-5.0","567","","","","","make choice","2761","3","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","12","85018","0.0-6.0-6.0","567","","","","","clear_screen","null","null","","","critical","t","c","d","240","164","164","240","237.1485","162.6685","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","dc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","13","85219","0.0-6.0-0.1","567","","","","","pre trial waiting period","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","504.48928233974294","498.3947832339262","465.1153652433951"
"","canvas-keyboard-response","14","85243","0.0-6.0-1.1","567","","","","","clear_screen","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","504.48928233974294","498.3947832339262","465.1153652433951"
"","canvas-keyboard-response","15","85752","0.0-6.0-2.1","567","","","","","rectangles no change","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","504.48928233974294","498.3947832339262","465.1153652433951"
"","canvas-keyboard-response","16","87090","0.0-6.0-3.1","567","","","","","rectangles with change","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","504.48928233974294","498.3947832339262","465.1153652433951"
"","canvas-keyboard-response","17","87113","0.0-6.0-4.1","567","","","","","clear_screen","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","504.48928233974294","498.3947832339262","465.1153652433951"
"","canvas-keyboard-response","18","88559","0.0-6.0-5.1","567","","","","","make choice","1434","3","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","19","88581","0.0-6.0-6.1","567","","","","","clear_screen","null","null","","","critical","d","t","c","227.1683","158.0083","240","164","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","tc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","20","88782","0.0-6.0-0.2","567","","","","","pre trial waiting period","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","514.8041787757388","120.8299960247637","504.4029768616569"
"","canvas-keyboard-response","21","88806","0.0-6.0-1.2","567","","","","","clear_screen","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","514.8041787757388","120.8299960247637","504.4029768616569"
"","canvas-keyboard-response","22","89316","0.0-6.0-2.2","567","","","","","rectangles no change","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","514.8041787757388","120.8299960247637","504.4029768616569"
"","canvas-keyboard-response","23","90653","0.0-6.0-3.2","567","","","","","rectangles with change","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","514.8041787757388","120.8299960247637","504.4029768616569"
"","canvas-keyboard-response","24","90678","0.0-6.0-4.2","567","","","","","clear_screen","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","514.8041787757388","120.8299960247637","504.4029768616569"
"","canvas-keyboard-response","25","91381","0.0-6.0-5.2","567","","","","","make choice","697","2","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","26","91399","0.0-6.0-6.2","567","","","","","clear_screen","null","null","","","critical","d","c","t","237.1485","162.6685","164","240","240","164","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","tc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","27","91600","0.0-6.0-0.3","567","","","","","pre trial waiting period","null","null","","","catch","l","sw","sh","162","228","144","236","177","217","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","434.6188104434066","423.9757066798558","448.97903285233133"
