"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","4165","0.0-0.0","565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4181","0.0-1.0","565","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","7645","0.0-2.0","565","","","","","enter-sub-number","3457","{""response"":""565""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","69622","0.0-3.0","565","","","","","","61906","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","75910","0.0-4.0","565","","","","","intro mssg","6281","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","123412","0.0-5.0","565","","","","","instructions","47498","","","[{""page_index"":0,""viewing_time"":9681},{""page_index"":1,""viewing_time"":3927},{""page_index"":2,""viewing_time"":2024},{""page_index"":3,""viewing_time"":15489},{""page_index"":4,""viewing_time"":9648},{""page_index"":5,""viewing_time"":3664},{""page_index"":6,""viewing_time"":2096},{""page_index"":7,""viewing_time"":967}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","123619","0.0-6.0-0.0","565","","","","","pre trial waiting period","null","null","","","critical","t","d","c","164","240","162.6685","237.1485","240","164","spektor","0.02","h","164","240","240","164","162.6685","237.1485","39360","39360","38576.5967","td","null","null","null","null","null","null","[1,2]","504.19557805091466","116.10463703458424","538.3436924539194"
"","canvas-keyboard-response","7","123643","0.0-6.0-1.0","565","","","","","clear_screen","null","null","","","critical","t","d","c","164","240","162.6685","237.1485","240","164","spektor","0.02","h","164","240","240","164","162.6685","237.1485","39360","39360","38576.5967","td","null","null","null","null","null","null","[1,2]","504.19557805091466","116.10463703458424","538.3436924539194"
"","canvas-keyboard-response","8","124154","0.0-6.0-2.0","565","","","","","rectangles no change","null","null","","","critical","t","d","c","164","240","162.6685","237.1485","240","164","spektor","0.02","h","164","240","240","164","162.6685","237.1485","39360","39360","38576.5967","td","null","null","null","null","null","null","[1,2]","504.19557805091466","116.10463703458424","538.3436924539194"
"","canvas-keyboard-response","9","125490","0.0-6.0-3.0","565","","","","","rectangles with change","null","null","","","critical","t","d","c","164","240","162.6685","237.1485","240","164","spektor","0.02","h","164","240","240","164","162.6685","237.1485","39360","39360","38576.5967","td","null","null","null","null","null","null","[1,2]","504.19557805091466","116.10463703458424","538.3436924539194"
