"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","3376","0.0-0.0","532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3408","0.0-1.0","532","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","12786","0.0-2.0","532","","","","","enter-sub-number","9358","{""response"":""532""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","19356","0.0-3.0","532","","","","","","6466","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","47732","0.0-4.0","532","","","","","intro mssg","28370","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","89132","0.0-5.0","532","","","","","instructions","41395","","","[{""page_index"":0,""viewing_time"":14307},{""page_index"":1,""viewing_time"":4832},{""page_index"":2,""viewing_time"":3016},{""page_index"":3,""viewing_time"":7848},{""page_index"":4,""viewing_time"":6400},{""page_index"":5,""viewing_time"":1912},{""page_index"":6,""viewing_time"":2016},{""page_index"":7,""viewing_time"":1064}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","89337","0.0-6.0-0.0","532","","","","","pre trial waiting period","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","511.85811119796904","476.23487019709086","468.3928733431338"
"","canvas-keyboard-response","7","89364","0.0-6.0-1.0","532","","","","","clear_screen","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","511.85811119796904","476.23487019709086","468.3928733431338"
"","canvas-keyboard-response","8","89883","0.0-6.0-2.0","532","","","","","rectangles no change","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","511.85811119796904","476.23487019709086","468.3928733431338"
"","canvas-keyboard-response","9","91221","0.0-6.0-3.0","532","","","","","rectangles with change","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","511.85811119796904","476.23487019709086","468.3928733431338"
"","canvas-keyboard-response","10","91241","0.0-6.0-4.0","532","","","","","clear_screen","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","511.85811119796904","476.23487019709086","468.3928733431338"
"","canvas-keyboard-response","11","92882","0.0-6.0-5.0","532","","","","","make choice","1629","1","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","12","92901","0.0-6.0-6.0","532","","","","","clear_screen","null","null","","","catch","l","sw","sh","295","161","184","214","229","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","13","93102","0.0-6.0-0.1","532","","","","","pre trial waiting period","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","510.2420447437319","472.6823503775455","461.45253197433567"
"","canvas-keyboard-response","14","93122","0.0-6.0-1.1","532","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","510.2420447437319","472.6823503775455","461.45253197433567"
"","canvas-keyboard-response","15","93633","0.0-6.0-2.1","532","","","","","rectangles no change","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","510.2420447437319","472.6823503775455","461.45253197433567"
"","canvas-keyboard-response","16","94969","0.0-6.0-3.1","532","","","","","rectangles with change","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","510.2420447437319","472.6823503775455","461.45253197433567"
"","canvas-keyboard-response","17","94993","0.0-6.0-4.1","532","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","510.2420447437319","472.6823503775455","461.45253197433567"
"","canvas-keyboard-response","18","98121","0.0-6.0-5.1","532","","","","","make choice","3115","2","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","","",""
"","canvas-keyboard-response","19","98140","0.0-6.0-6.1","532","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","trueblood","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","","",""
"","canvas-keyboard-response","20","98341","0.0-6.0-0.2","532","","","","","pre trial waiting period","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","512.5263743307481","499.81770174342427","424.43787005785236"
"","canvas-keyboard-response","21","98362","0.0-6.0-1.2","532","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","512.5263743307481","499.81770174342427","424.43787005785236"
"","canvas-keyboard-response","22","98874","0.0-6.0-2.2","532","","","","","rectangles no change","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","512.5263743307481","499.81770174342427","424.43787005785236"
"","canvas-keyboard-response","23","100209","0.0-6.0-3.2","532","","","","","rectangles with change","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","512.5263743307481","499.81770174342427","424.43787005785236"
"","canvas-keyboard-response","24","100230","0.0-6.0-4.2","532","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","512.5263743307481","499.81770174342427","424.43787005785236"
"","canvas-keyboard-response","25","101033","0.0-6.0-5.2","532","","","","","make choice","794","3","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","26","101052","0.0-6.0-6.2","532","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","27","101253","0.0-6.0-0.3","532","","","","","pre trial waiting period","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","464.1603553717505","500.26344688131434","491.28633565169326"
"","canvas-keyboard-response","28","101272","0.0-6.0-1.3","532","","","","","clear_screen","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","464.1603553717505","500.26344688131434","491.28633565169326"
"","canvas-keyboard-response","29","101784","0.0-6.0-2.3","532","","","","","rectangles no change","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","464.1603553717505","500.26344688131434","491.28633565169326"
"","canvas-keyboard-response","30","103119","0.0-6.0-3.3","532","","","","","rectangles with change","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","464.1603553717505","500.26344688131434","491.28633565169326"
"","canvas-keyboard-response","31","103139","0.0-6.0-4.3","532","","","","","clear_screen","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","464.1603553717505","500.26344688131434","491.28633565169326"
"","canvas-keyboard-response","32","103721","0.0-6.0-5.3","532","","","","","make choice","576","1","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","","",""
"","canvas-keyboard-response","33","103739","0.0-6.0-6.3","532","","","","","clear_screen","null","null","","","catch","l","sh","sw","297","190","169","155","202","204","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]","","",""
