"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","3070","0.0-0.0","558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3143","0.0-1.0","558","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","8454","0.0-2.0","558","","","","","enter-sub-number","5298","{""response"":""558""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","26067","0.0-3.0","558","","","","","","17510","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","35290","0.0-4.0","558","","","","","intro mssg","9218","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","72898","0.0-5.0","558","","","","","instructions","37603","","","[{""page_index"":0,""viewing_time"":7251},{""page_index"":1,""viewing_time"":5288},{""page_index"":2,""viewing_time"":5040},{""page_index"":3,""viewing_time"":9441},{""page_index"":4,""viewing_time"":3511},{""page_index"":5,""viewing_time"":3208},{""page_index"":6,""viewing_time"":2376},{""page_index"":7,""viewing_time"":1488}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","73103","0.0-6.0-0.0","558","","","","","pre trial waiting period","null","null","","","catch","l","sh","sw","246","193","233","218","149","223","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","461.3174302376152","458.14102720725543","460.61735885686636"
"","canvas-keyboard-response","7","73128","0.0-6.0-1.0","558","","","","","clear_screen","null","null","","","catch","l","sh","sw","246","193","233","218","149","223","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","461.3174302376152","458.14102720725543","460.61735885686636"
"","canvas-keyboard-response","8","73647","0.0-6.0-2.0","558","","","","","rectangles no change","null","null","","","catch","l","sh","sw","246","193","233","218","149","223","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","461.3174302376152","458.14102720725543","460.61735885686636"
"","canvas-keyboard-response","9","74985","0.0-6.0-3.0","558","","","","","rectangles with change","null","null","","","catch","l","sh","sw","246","193","233","218","149","223","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","461.3174302376152","458.14102720725543","460.61735885686636"
