"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","3684","0.0-0.0","533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3703","0.0-1.0","533","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","6610","0.0-2.0","533","","","","","enter-sub-number","2899","{""response"":""533""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","11885","0.0-3.0","533","","","","","","5207","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","14621","0.0-4.0","533","","","","","intro mssg","2730","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","58356","0.0-5.0","533","","","","","instructions","43729","","","[{""page_index"":0,""viewing_time"":6289},{""page_index"":1,""viewing_time"":6375},{""page_index"":2,""viewing_time"":2752},{""page_index"":3,""viewing_time"":15656},{""page_index"":4,""viewing_time"":6017},{""page_index"":5,""viewing_time"":2008},{""page_index"":6,""viewing_time"":3136},{""page_index"":7,""viewing_time"":1495}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","58561","0.0-6.0-0.0","533","","","","","pre trial waiting period","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","471.1336293988183","126.56790944074072","526.1067207107403"
"","canvas-keyboard-response","7","58587","0.0-6.0-1.0","533","","","","","clear_screen","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","471.1336293988183","126.56790944074072","526.1067207107403"
"","canvas-keyboard-response","8","59098","0.0-6.0-2.0","533","","","","","rectangles no change","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","471.1336293988183","126.56790944074072","526.1067207107403"
"","canvas-keyboard-response","9","60438","0.0-6.0-3.0","533","","","","","rectangles with change","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","471.1336293988183","126.56790944074072","526.1067207107403"
"","canvas-keyboard-response","10","60457","0.0-6.0-4.0","533","","","","","clear_screen","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","471.1336293988183","126.56790944074072","526.1067207107403"
"","canvas-keyboard-response","11","62155","0.0-6.0-5.0","533","","","","","make choice","1689","3","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","12","62174","0.0-6.0-6.0","533","","","","","clear_screen","null","null","","","critical","d","t","c","164","240","164","240","240","164","spektor","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[2,3]","","",""
"","canvas-keyboard-response","13","62376","0.0-6.0-0.1","533","","","","","pre trial waiting period","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","512.9872248770041","483.287801055039","422.63527874562817"
"","canvas-keyboard-response","14","62400","0.0-6.0-1.1","533","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","512.9872248770041","483.287801055039","422.63527874562817"
"","canvas-keyboard-response","15","62909","0.0-6.0-2.1","533","","","","","rectangles no change","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","512.9872248770041","483.287801055039","422.63527874562817"
"","canvas-keyboard-response","16","64248","0.0-6.0-3.1","533","","","","","rectangles with change","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","512.9872248770041","483.287801055039","422.63527874562817"
"","canvas-keyboard-response","17","64273","0.0-6.0-4.1","533","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","512.9872248770041","483.287801055039","422.63527874562817"
"","canvas-keyboard-response","18","64811","0.0-6.0-5.1","533","","","","","make choice","527","1","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","","",""
"","canvas-keyboard-response","19","64830","0.0-6.0-6.1","533","","","","","clear_screen","null","null","","","critical","t","d","c","240","164","227.1683","158.0083","164","240","trueblood","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,2]","","",""
"","canvas-keyboard-response","20","65032","0.0-6.0-0.2","533","","","","","pre trial waiting period","null","null","","","critical","c","t","d","164","240","240","164","220.0396","154.6796","spektor","0.14","w","240","164","164","240","220.0396","154.6796","39360","39360","34035.6388","dc","null","null","null","null","null","null","[3,1]","491.50036625082754","191.70554719575725","520.302563770489"
"","canvas-keyboard-response","21","65054","0.0-6.0-1.2","533","","","","","clear_screen","null","null","","","critical","c","t","d","164","240","240","164","220.0396","154.6796","spektor","0.14","w","240","164","164","240","220.0396","154.6796","39360","39360","34035.6388","dc","null","null","null","null","null","null","[3,1]","491.50036625082754","191.70554719575725","520.302563770489"
"","canvas-keyboard-response","22","65560","0.0-6.0-2.2","533","","","","","rectangles no change","null","null","","","critical","c","t","d","164","240","240","164","220.0396","154.6796","spektor","0.14","w","240","164","164","240","220.0396","154.6796","39360","39360","34035.6388","dc","null","null","null","null","null","null","[3,1]","491.50036625082754","191.70554719575725","520.302563770489"
