"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","1653","0.0-0.0","524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1724","0.0-1.0","524","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","8645","0.0-2.0","524","","","","","enter-sub-number","6910","{""response"":""524""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","57952","0.0-3.0","524","","","","","","49232","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","61686","0.0-4.0","524","","","","","intro mssg","3731","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","99527","0.0-5.0","524","","","","","instructions","37835","","","[{""page_index"":0,""viewing_time"":5106},{""page_index"":1,""viewing_time"":5752},{""page_index"":2,""viewing_time"":1873},{""page_index"":3,""viewing_time"":9512},{""page_index"":4,""viewing_time"":7823},{""page_index"":5,""viewing_time"":4897},{""page_index"":6,""viewing_time"":1895},{""page_index"":7,""viewing_time"":976}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","99733","0.0-6.0-0.0","524","","","","","pre trial waiting period","null","null","","","critical","t","d","c","164","240","160.6713","232.8713","240","164","spektor","0.05","h","164","240","240","164","160.6713","232.8713","39360","39360","37415.7294","dc","null","null","null","null","null","null","[2,3]","466.74952285360246","106.8034837472146","508.7322404050279"
"","canvas-keyboard-response","7","99760","0.0-6.0-1.0","524","","","","","clear_screen","null","null","","","critical","t","d","c","164","240","160.6713","232.8713","240","164","spektor","0.05","h","164","240","240","164","160.6713","232.8713","39360","39360","37415.7294","dc","null","null","null","null","null","null","[2,3]","466.74952285360246","106.8034837472146","508.7322404050279"
"","canvas-keyboard-response","8","100287","0.0-6.0-2.0","524","","","","","rectangles no change","null","null","","","critical","t","d","c","164","240","160.6713","232.8713","240","164","spektor","0.05","h","164","240","240","164","160.6713","232.8713","39360","39360","37415.7294","dc","null","null","null","null","null","null","[2,3]","466.74952285360246","106.8034837472146","508.7322404050279"
"","canvas-keyboard-response","9","101626","0.0-6.0-3.0","524","","","","","rectangles with change","null","null","","","critical","t","d","c","164","240","160.6713","232.8713","240","164","spektor","0.05","h","164","240","240","164","160.6713","232.8713","39360","39360","37415.7294","dc","null","null","null","null","null","null","[2,3]","466.74952285360246","106.8034837472146","508.7322404050279"
