"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","2932","0.0-0.0","540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2946","0.0-1.0","540","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","9270","0.0-2.0","540","","","","","enter-sub-number","6316","{""response"":""540""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","25293","0.0-3.0","540","","","","","","15956","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","40140","0.0-4.0","540","","","","","intro mssg","14841","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","131323","0.0-5.0","540","","","","","instructions","91178","","","[{""page_index"":0,""viewing_time"":42586},{""page_index"":1,""viewing_time"":13640},{""page_index"":2,""viewing_time"":2898},{""page_index"":3,""viewing_time"":14742},{""page_index"":4,""viewing_time"":5240},{""page_index"":5,""viewing_time"":3744},{""page_index"":6,""viewing_time"":5832},{""page_index"":7,""viewing_time"":2496}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","131529","0.0-6.0-0.0","540","","","","","pre trial waiting period","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","444.04837912548135","482.5807727137203","419.78062808285955"
"","canvas-keyboard-response","7","131552","0.0-6.0-1.0","540","","","","","clear_screen","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","444.04837912548135","482.5807727137203","419.78062808285955"
"","canvas-keyboard-response","8","132066","0.0-6.0-2.0","540","","","","","rectangles no change","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","444.04837912548135","482.5807727137203","419.78062808285955"
"","canvas-keyboard-response","9","133402","0.0-6.0-3.0","540","","","","","rectangles with change","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","444.04837912548135","482.5807727137203","419.78062808285955"
"","canvas-keyboard-response","10","133420","0.0-6.0-4.0","540","","","","","clear_screen","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","444.04837912548135","482.5807727137203","419.78062808285955"
"","canvas-keyboard-response","11","136208","0.0-6.0-5.0","540","","","","","make choice","2780","2","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","12","136228","0.0-6.0-6.0","540","","","","","clear_screen","null","null","","","critical","d","c","t","164","240","240","164","164","240","trueblood","0","h","164","240","240","164","164","240","39360","39360","39360","tc","null","null","null","null","null","null","[3,2]","","",""
"","canvas-keyboard-response","13","136430","0.0-6.0-0.1","540","","","","","pre trial waiting period","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","458.04604970498076","490.08458278801925","477.1971962878023"
"","canvas-keyboard-response","14","136452","0.0-6.0-1.1","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","458.04604970498076","490.08458278801925","477.1971962878023"
"","canvas-keyboard-response","15","136957","0.0-6.0-2.1","540","","","","","rectangles no change","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","458.04604970498076","490.08458278801925","477.1971962878023"
"","canvas-keyboard-response","16","138293","0.0-6.0-3.1","540","","","","","rectangles with change","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","458.04604970498076","490.08458278801925","477.1971962878023"
"","canvas-keyboard-response","17","138309","0.0-6.0-4.1","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","458.04604970498076","490.08458278801925","477.1971962878023"
"","canvas-keyboard-response","18","139711","0.0-6.0-5.1","540","","","","","make choice","1390","3","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","19","139731","0.0-6.0-6.1","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","207","195","233","197","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","20","139932","0.0-6.0-0.2","540","","","","","pre trial waiting period","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","515.0655928729467","162.52940685165368","514.6647336327669"
"","canvas-keyboard-response","21","139950","0.0-6.0-1.2","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","515.0655928729467","162.52940685165368","514.6647336327669"
"","canvas-keyboard-response","22","140456","0.0-6.0-2.2","540","","","","","rectangles no change","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","515.0655928729467","162.52940685165368","514.6647336327669"
"","canvas-keyboard-response","23","141795","0.0-6.0-3.2","540","","","","","rectangles with change","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","515.0655928729467","162.52940685165368","514.6647336327669"
"","canvas-keyboard-response","24","141817","0.0-6.0-4.2","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","515.0655928729467","162.52940685165368","514.6647336327669"
"","canvas-keyboard-response","25","142935","0.0-6.0-5.2","540","","","","","make choice","1115","3","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","26","142953","0.0-6.0-6.2","540","","","","","clear_screen","null","null","","","catch","sw","sh","l","180","200","230","213","253","185","spektor","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","27","143154","0.0-6.0-0.3","540","","","","","pre trial waiting period","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","539.7505723613552","172.97707243681563","496.6037868341729"
"","canvas-keyboard-response","28","143177","0.0-6.0-1.3","540","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","539.7505723613552","172.97707243681563","496.6037868341729"
"","canvas-keyboard-response","29","143684","0.0-6.0-2.3","540","","","","","rectangles no change","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","539.7505723613552","172.97707243681563","496.6037868341729"
"","canvas-keyboard-response","30","145020","0.0-6.0-3.3","540","","","","","rectangles with change","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","539.7505723613552","172.97707243681563","496.6037868341729"
"","canvas-keyboard-response","31","145039","0.0-6.0-4.3","540","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","539.7505723613552","172.97707243681563","496.6037868341729"
"","canvas-keyboard-response","32","146215","0.0-6.0-5.3","540","","","","","make choice","1171","2","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","","",""
"","canvas-keyboard-response","33","146236","0.0-6.0-6.3","540","","","","","clear_screen","null","null","","","critical","d","t","c","237.1485","162.6685","240","164","164","240","spektor","0.02","w","240","164","164","240","237.1485","162.6685","39360","39360","38576.5967","td","null","null","null","null","null","null","[2,1]","","",""
