"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","2789","0.0-0.0","526","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2845","0.0-1.0","526","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","5919","0.0-2.0","526","","","","","enter-sub-number","3037","{""response"":""526""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","66004","0.0-3.0","526","","","","","","59978","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","73171","0.0-4.0","526","","","","","intro mssg","7164","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","132771","0.0-5.0","526","","","","","instructions","59595","","","[{""page_index"":0,""viewing_time"":13291},{""page_index"":1,""viewing_time"":11368},{""page_index"":2,""viewing_time"":7184},{""page_index"":3,""viewing_time"":13520},{""page_index"":4,""viewing_time"":6848},{""page_index"":5,""viewing_time"":2752},{""page_index"":6,""viewing_time"":3080},{""page_index"":7,""viewing_time"":1552}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","132976","0.0-6.0-0.0","526","","","","","pre trial waiting period","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","485.46765929265376","450.5516867472441","462.74341028757766"
"","canvas-keyboard-response","7","132999","0.0-6.0-1.0","526","","","","","clear_screen","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","485.46765929265376","450.5516867472441","462.74341028757766"
"","canvas-keyboard-response","8","133515","0.0-6.0-2.0","526","","","","","rectangles no change","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","485.46765929265376","450.5516867472441","462.74341028757766"
"","canvas-keyboard-response","9","134853","0.0-6.0-3.0","526","","","","","rectangles with change","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","485.46765929265376","450.5516867472441","462.74341028757766"
"","canvas-keyboard-response","10","134873","0.0-6.0-4.0","526","","","","","clear_screen","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","485.46765929265376","450.5516867472441","462.74341028757766"
"","canvas-keyboard-response","11","148736","0.0-6.0-5.0","526","","","","","make choice","13851","3","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","12","148756","0.0-6.0-6.0","526","","","","","clear_screen","null","null","","","catch","l","sh","sw","278","214","223","213","218","213","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","","",""
"","canvas-keyboard-response","13","148959","0.0-6.0-0.1","526","","","","","pre trial waiting period","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","464.629638921966","483.02274183376994","454.2653814863963"
"","canvas-keyboard-response","14","148978","0.0-6.0-1.1","526","","","","","clear_screen","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","464.629638921966","483.02274183376994","454.2653814863963"
"","canvas-keyboard-response","15","149487","0.0-6.0-2.1","526","","","","","rectangles no change","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","464.629638921966","483.02274183376994","454.2653814863963"
"","canvas-keyboard-response","16","150822","0.0-6.0-3.1","526","","","","","rectangles with change","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","464.629638921966","483.02274183376994","454.2653814863963"
"","canvas-keyboard-response","17","150841","0.0-6.0-4.1","526","","","","","clear_screen","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","464.629638921966","483.02274183376994","454.2653814863963"
"","canvas-keyboard-response","18","156889","0.0-6.0-5.1","526","","","","","make choice","6036","3","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","","",""
"","canvas-keyboard-response","19","156907","0.0-6.0-6.1","526","","","","","clear_screen","null","null","","","critical","t","c","d","164","240","240","164","158.0083","227.1683","trueblood","0.09","h","164","240","240","164","158.0083","227.1683","39360","39360","35894.4834","td","null","null","null","null","null","null","[1,3]","","",""
"","canvas-keyboard-response","20","157108","0.0-6.0-0.2","526","","","","","pre trial waiting period","null","null","","","critical","c","d","t","164","240","227.1683","158.0083","240","164","spektor","0.09","w","240","164","164","240","227.1683","158.0083","39360","39360","35894.4834","dc","null","null","null","null","null","null","[2,1]","491.6080453484857","208.19413883833892","498.81551454656056"
