"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","2723","0.0-0.0","508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2767","0.0-1.0","508","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","15613","0.0-2.0","508","","","","","enter-sub-number","12821","{""response"":""508""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","36984","0.0-3.0","508","","","","","","21266","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","43424","0.0-4.0","508","","","","","intro mssg","6436","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","73648","0.0-5.0","508","","","","","instructions","30220","","","[{""page_index"":0,""viewing_time"":4643},{""page_index"":1,""viewing_time"":4360},{""page_index"":2,""viewing_time"":2552},{""page_index"":3,""viewing_time"":8687},{""page_index"":4,""viewing_time"":4641},{""page_index"":5,""viewing_time"":2191},{""page_index"":6,""viewing_time"":2009},{""page_index"":7,""viewing_time"":1136}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","73853","0.0-6.0-0.0","508","","","","","pre trial waiting period","null","null","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","457.5871171023048","453.69551302243195","475.0376964583841"
"","canvas-keyboard-response","7","73877","0.0-6.0-1.0","508","","","","","clear_screen","null","null","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","457.5871171023048","453.69551302243195","475.0376964583841"
"","canvas-keyboard-response","8","74392","0.0-6.0-2.0","508","","","","","rectangles no change","null","null","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","457.5871171023048","453.69551302243195","475.0376964583841"
"","canvas-keyboard-response","9","75729","0.0-6.0-3.0","508","","","","","rectangles with change","null","null","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","457.5871171023048","453.69551302243195","475.0376964583841"
"","canvas-keyboard-response","10","75747","0.0-6.0-4.0","508","","","","","clear_screen","null","null","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","457.5871171023048","453.69551302243195","475.0376964583841"
"","canvas-keyboard-response","11","79868","0.0-6.0-5.0","508","","","","","make choice","4110","3","","","critical","d","t","c","154.6796","220.0396","164","240","240","164","trueblood","0.14","h","164","240","240","164","154.6796","220.0396","39360","39360","34035.6388","tc","null","null","null","null","null","null","[2,3]","","",""
