"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects","r1yloc","r2yloc","r3yloc"
"true","fullscreen","0","3644","0.0-0.0","529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3657","0.0-1.0","529","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","20348","0.0-2.0","529","","","","","enter-sub-number","16678","{""response"":""529""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","96845","0.0-3.0","529","","","","","","76431","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","105702","0.0-4.0","529","","","","","intro mssg","8849","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","174957","0.0-5.0","529","","","","","instructions","69252","","","[{""page_index"":0,""viewing_time"":12356},{""page_index"":1,""viewing_time"":7862},{""page_index"":2,""viewing_time"":8137},{""page_index"":3,""viewing_time"":22705},{""page_index"":4,""viewing_time"":7464},{""page_index"":5,""viewing_time"":3376},{""page_index"":6,""viewing_time"":3529},{""page_index"":7,""viewing_time"":3823}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","175163","0.0-6.0-0.0","529","","","","","pre trial waiting period","null","null","","","catch","l","sh","sw","208","284","194","156","217","232","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","431.1259698369857","479.782575209577","449.8439225913206"
"","canvas-keyboard-response","7","175184","0.0-6.0-1.0","529","","","","","clear_screen","null","null","","","catch","l","sh","sw","208","284","194","156","217","232","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","431.1259698369857","479.782575209577","449.8439225913206"
"","canvas-keyboard-response","8","175696","0.0-6.0-2.0","529","","","","","rectangles no change","null","null","","","catch","l","sh","sw","208","284","194","156","217","232","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","431.1259698369857","479.782575209577","449.8439225913206"
"","canvas-keyboard-response","9","177035","0.0-6.0-3.0","529","","","","","rectangles with change","null","null","","","catch","l","sh","sw","208","284","194","156","217","232","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,3]","431.1259698369857","479.782575209577","449.8439225913206"
